gene	half_life_hr	decay_rate	p_val	std	geneSymbol
1	7.00157485122295	-2.31264802307919	0.0274498006045097	0.910270147713155	A1BG
13	4.0830665668925	-1.77336123621322	0.0176031157472357	0.635733384461495	AADAC
15	10.0040184002537	-2.669499772885	0.0331930801919665	1.09690281916237	AANAT
16	5.23850006937584	-2.022548131636	0.0316681793494973	0.822111177985307	AARS
18	7.21945254640175	-2.34329204601347	0.00269272584236769	0.608417301382361	ABAT
19	2.28319543656623	-1.19208888961926	0.00211288588197955	0.298577170795963	ABCA1
20	5.66065940956022	-2.10005330946662	0.0336601019690447	0.865720799917386	ABCA2
21	6.12809213949809	-2.1793963887258	0.0102169899106909	0.704445511963396	ABCA3
22	6.30552766921359	-2.20793957709361	0.00134540337868258	0.518424975634725	ABCB7
24	7.85213646304114	-2.42729857624388	0.403065770677577	2.79109878207086	ABCA4
25	2.30861719210745	-1.20316164773669	0.00189306029986073	0.296569164196782	ABL1
27	1.5751459859113	-0.820860878031349	0.00487393195598392	0.233788488060499	ABL2
29	5.38184067587104	-2.04954336930272	0.011217801999211	0.673873773035991	ABR
30	6.18141880067178	-2.18806074509867	0.101674819029976	1.22517492376687	ACAA1
31	5.229737680272	-2.02087404066485	0.00604494278548938	0.596293846131491	ACACA
32	3.97601474758827	-1.74679291852109	0.00561513034161193	0.509150489288342	ACACB
34	5.44395237203393	-2.06101825662467	0.0712616747000915	1.03245108709378	ACADM
35	5.27046515022007	-2.02863154303879	0.100593323952016	1.13183638530005	ACADS
36	6.62820205232955	-2.2578465043418	0.0124142204633844	0.7564673377458	ACADSB
37	6.003526446702	-2.15885995827455	0.0843798596598003	1.13804814254525	ACADVL
38	7.54664312517854	-2.38761576578853	0.0941561214163782	1.30335708288959	ACAT1
41	8.1531299120549	-2.46491481239955	0.0320898900079371	1.00496697449585	ASIC1
43	5.1630709322418	-2.00804446495575	0.0111634039600942	0.65963901889793	ACHE
47	7.07979100609345	-2.32375730893825	0.0156678390730235	0.814045371022646	ACLY
48	6.92955110207933	-2.30230795565069	0.0245224359921624	0.884173561658037	ACO1
