gene	half_life_hr	decay_rate	p_val	std	geneSymbol
1	10.0572799672982	-2.67480966770945	0.0806223739089731	1.15006051996492	A1BG
15	6.9388080317671	-2.3036429270014	0.183542744413609	1.43437845907748	AANAT
16	4.52612539077927	-1.87637917195615	0.00201480881243976	0.262096485214715	AARS
18	9.21897118621014	-2.58777636691435	0.0539753141772051	0.957681450599145	ABAT
19	5.41180661979005	-2.0550958985057	0.0371963578378187	0.668832336626824	ABCA1
20	5.83316501051103	-2.13007265708573	0.0196935371538215	0.565792326608895	ABCA2
21	5.19404678721562	-2.01402604171689	0.0210191019562023	0.545809494454715	ABCA3
22	4.66610865618667	-1.90683838070503	0.000954701035250564	0.21879644168704	ABCB7
24	7.39567537623775	-2.36740834134199	0.0328106700526236	0.73915018773004	ABCA4
25	3.76987328335635	-1.69355430963488	0.00736933067758652	0.337154512848902	ABL1
27	3.07345533451959	-1.48931536539251	0.0154304577272279	0.367409911686258	ABL2
29	6.80653669438153	-2.28439634961686	0.0150124365609399	0.55894706579001	ABR
30	4.6350710115762	-1.90016444021054	0.00315374639704205	0.299306921757634	ACAA1
31	7.17379319810831	-2.33694747269532	0.0163133833072895	0.586225541522492	ACACA
32	6.53208904181701	-2.24323972722848	0.00799096037624302	0.456944970768952	ACACB
34	4.22051576197562	-1.80647025963915	0.00231460986430077	0.261841803884243	ACADM
35	4.84038631969531	-1.94350745624377	0.00304218626497897	0.30316921528063	ACADS
36	6.88522567403773	-2.29589082986312	0.00985961633400581	0.496634548867001	ACADSB
37	6.50905994871826	-2.23970796525675	0.0363762519298241	0.72351482544777	ACADVL
38	4.56711908960614	-1.88539553055713	0.000636947627270315	0.194741833578189	ACAT1
41	6.0433926646839	-2.16547847428528	0.0110408778582793	0.484016827337149	ASIC1
43	6.41638830863741	-2.2253683112343	0.0184757151348134	0.579677694130279	ACHE
47	5.08046712381743	-1.99191613145196	0.00313265715183431	0.313190609499226	ACLY
48	6.03806490911495	-2.16459650191038	0.0097503220708046	0.466732861804213	ACO1
49	9.91940733013661	-2.66100609514774	0.161505465109669	1.55166921444563	ACR
50	4.74214866178403	-1.9230032577512	0.00218663510579231	0.274530848569873	ACO2
51	6.70641302567457	-2.26957715719651	0.00690530878990281	0.44362360269513	ACOX1
53	5.80099524589563	-2.12454241753339	0.0067214287580163	0.412136484119718	ACP2
54	9.48660036111959	-2.61639323520996	0.22207701594867	1.81115817207188	ACP5
56	5.16008241694	-2.00746547222277	0.206184158469477	1.33172127421309	ACRV1
58	7.49722918349127	-2.38104643066218	0.0357145445813058	0.764492987442439	ACTA1
